Year,Serie,RefArea,Value
2016,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",La Rioja,"20,3"
2017,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",La Rioja,"20,1"
2018,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",La Rioja,"21,7"
2019,"Proporción de personas en riesgo de pobreza o exclusión social. Indicador AROPE, considerando el umbral autonómico de pobreza",La Rioja,"20,3"
2010,Proporción de personas viviendo en hogares con carencia material severa,España,"4,91"
2011,Proporción de personas viviendo en hogares con carencia material severa,España,"4,54"
2012,Proporción de personas viviendo en hogares con carencia material severa,España,"5,84"
2013,Proporción de personas viviendo en hogares con carencia material severa,España,"6,19"
2014,Proporción de personas viviendo en hogares con carencia material severa,España,"7,06"
2015,Proporción de personas viviendo en hogares con carencia material severa,España,"6,44"
2016,Proporción de personas viviendo en hogares con carencia material severa,España,"5,79"
2017,Proporción de personas viviendo en hogares con carencia material severa,España,"5,14"
2018,Proporción de personas viviendo en hogares con carencia material severa,España,"5,4"
2019,Proporción de personas viviendo en hogares con carencia material severa,España,"4,7"
2020,Proporción de personas viviendo en hogares con carencia material severa,España,"6,95"
2010,Proporción de personas viviendo en hogares con carencia material severa,La Rioja,"5,3"
2011,Proporción de personas viviendo en hogares con carencia material severa,La Rioja,"5,5"
2012,Proporción de personas viviendo en hogares con carencia material severa,La Rioja,"6,3"
2013,Proporción de personas viviendo en hogares con carencia material severa,La Rioja,"6,6"
2014,Proporción de personas viviendo en hogares con carencia material severa,La Rioja,"5,6"
2015,Proporción de personas viviendo en hogares con carencia material severa,La Rioja,"4,8"
2016,Proporción de personas viviendo en hogares con carencia material severa,La Rioja,"5,9"
2017,Proporción de personas viviendo en hogares con carencia material severa,La Rioja,"2,9"
2018,Proporción de personas viviendo en hogares con carencia material severa,La Rioja,"3,5"
2019,Proporción de personas viviendo en hogares con carencia material severa,La Rioja,"1,6"
2010,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,"10,82"
2011,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,"13,35"
2012,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,"14,28"
2013,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,"15,68"
2014,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,"17,12"
2015,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,"15,44"
2016,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,"14,85"
2017,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,"12,79"
2018,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,"10,65"
2019,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,"10,84"
2020,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,"9,92"
2010,Proporción de personas viviendo en hogares con baja intensidad de trabajo,La Rioja,"13,9"
2011,Proporción de personas viviendo en hogares con baja intensidad de trabajo,La Rioja,"13,1"
2012,Proporción de personas viviendo en hogares con baja intensidad de trabajo,La Rioja,"10,4"
2013,Proporción de personas viviendo en hogares con baja intensidad de trabajo,La Rioja,"10,4"
2014,Proporción de personas viviendo en hogares con baja intensidad de trabajo,La Rioja,"10,7"
2015,Proporción de personas viviendo en hogares con baja intensidad de trabajo,La Rioja,"10,4"
2016,Proporción de personas viviendo en hogares con baja intensidad de trabajo,La Rioja,"9,2"
2017,Proporción de personas viviendo en hogares con baja intensidad de trabajo,La Rioja,"5,4"
2018,Proporción de personas viviendo en hogares con baja intensidad de trabajo,La Rioja,"8,8"
2019,Proporción de personas viviendo en hogares con baja intensidad de trabajo,La Rioja,"6,3"
